route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000033,OCESN13103F2636522:2023-12-17T00:29:43Z,13103,1,142,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000034,OCESN13104F2477251:2023-12-18T00:30:53Z,13104,0,143,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000035,OCESN13104F2488211:2023-10-04T00:41:06Z,13104,0,144,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000035,OCESN13105F2479458:2023-10-04T00:41:06Z,13105,1,145,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000036,OCESN13105F2479734:2023-12-18T00:30:53Z,13105,1,146,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000037,OCESN13105F2665509:2023-11-20T00:36:28Z,13105,1,147,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000033,OCESN13106F2636152:2023-12-17T00:29:43Z,13106,0,148,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000033,OCESN13107F2643173:2023-12-17T00:29:43Z,13107,1,149,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000033,OCESN13108F2675680:2023-12-17T00:29:43Z,13108,0,150,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000036,OCESN13109F2477018:2023-12-18T00:30:53Z,13109,,151,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000035,OCESN13109F2479755:2023-10-04T00:41:06Z,13109,,152,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000037,OCESN13109F2499795:2023-11-16T00:34:55Z,13109,,153,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000033,OCESN13110F2637160:2023-12-17T00:29:43Z,13110,0,154,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000038,OCESN13111F2479797:2023-12-12T00:43:19Z,13111,1,155,
